p_pupilnr|p_name|p_firstname|p_birthdate|p_address|p_c_class
"1"|"Adler"|"Richard"|"1966-03-12"|"Gumpendorf"|"03TA"|
"4"|"Kneippp"|"Sebastian"|"1967-12-24"|"Fuenfhaus"|"03TA"|
"16"|"Geyer"|"Walli"|"1966-07-23"|"Simmering"|"01VL"|
"19"|"Sitzenbleiber"|"Eusebius"|"1951-02-22"|"Schweiz"|"03TA"|
"22"|"Huber"|"Seppl"|"1968-02-02"|"Margareten"|"03TA"|
"55"|"Schulz"|"Xandl"|"1964-09-03"|"Doebling"|"03TB"|
"74"|"Hundertwasser"|"Friederike"|"1961-02-02"|"Landstrasse"|"03TA"|
"77"|"Berger"|"Balduin"|"1964-03-13"|"Favoriten"|"03TB"|
"84"|"Feuerstein"|"Bebbles"|"1966-06-12"|"Steintal"|"03TB"|
"88"|"Mayer"|"Barbara"|"1965-05-03"|"Ottakring"|"03TB"|
"111"|"Sandler"|"Eberhard"|"1959-04-19"|"Hoechststaettpl"|"03TB"|
"122"|"Graf"|"Bobby"|"1962-01-01"|"Doebling"|"03TA"|
"1266"|"Schlager"|"Ronnie"|"1963-04-23"|"Ottakring"|"03TB"|
